"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2012","","","9/30/2012","","","6/30/2012","","","3/31/2012",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","7083","","instcnt","7181","","instcnt","7245","","instcnt","7308",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","89,171,042","","p3asset","87,086,852","","p3asset","84,069,938","","p3asset","89,879,491",
"3","Loans secured by real estate, total","","p3re","60,721,333","","p3re","59,848,101","","p3re","58,436,053","","p3re","62,975,324",
"4","To non-U.S. addressees","","p3renus","472,589","","p3renus","458,811","","p3renus","442,464","","p3renus","490,132",
"5","Real estate loans in domestic offices","","idp3redm","60,275,401","","idp3redm","59,275,190","","idp3redm","57,859,443","","idp3redm","62,398,000",
"6","Construction and land development","","p3recons","2,535,104","","p3recons","2,251,577","","p3recons","2,525,312","","p3recons","3,304,530",
"7","1-4 family residential construction	","","p3recnfm","445,966","","p3recnfm","434,656","","p3recnfm","460,049","","p3recnfm","500,036",
"8","Other construction, all land development and other land	","","p3recnot","2,089,138","","p3recnot","1,816,921","","p3recnot","2,065,263","","p3recnot","2,804,494",
"9","Secured by farmland","","p3reag","394,079","","p3reag","432,548","","p3reag","457,461","","p3reag","469,519",
"10","Secured by 1-4 family residential properties","","p3reres","48,321,834","","p3reres","47,802,024","","p3reres","46,688,994","","p3reres","48,511,572",
"11","Secured by multifamily residential properties","","p3remult","1,496,457","","p3remult","939,974","","p3remult","974,683","","p3remult","1,414,244",
"12","Secured by nonfarm nonresidential properties","","p3renres","7,527,927","","p3renres","7,849,067","","p3renres","7,212,993","","p3renres","8,698,135",
"13","Owner-occupied non-farm non-residential","","p3renrow","3,568,912","","p3renrow","3,481,807","","p3renrow","3,359,529","","p3renrow","3,827,578",
"14","Other non-farm non-residential","","p3renrot","3,959,015","","p3renrot","4,367,260","","p3renrot","3,853,464","","p3renrot","4,870,557",
"15","Real estate loans in foreign offices","","p3refor","445,932","","p3refor","572,911","","p3refor","576,610","","p3refor","577,324",
"16","Loans to depository institutions","","p3dep","42,050","","p3dep","23,897","","p3dep","413","","p3dep","10,788",
"17","To foreign banks","","p3depnus","39,813","","p3depnus","20,309","","p3depnus","0","","p3depnus","17",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","86,379","","p3ag","186,460","","p3ag","127,944","","p3ag","106,646",
"19","Commercial and industrial loans","","p3ci","5,342,515","","p3ci","5,056,880","","p3ci","5,063,480","","p3ci","5,877,294",
"20","To non-U.S. addressees","","p3cinus","639,573","","p3cinus","151,103","","p3cinus","479,789","","p3cinus","748,049",
"21","Loans to individuals","","p3con","20,905,353","","p3con","20,145,570","","p3con","18,969,232","","p3con","18,531,261",
"22","Credit cards","","p3crcd","9,496,434","","p3crcd","9,541,484","","p3crcd","9,018,205","","p3crcd","9,288,953",
"23","Automobile loans","","p3auto","5,474,691","","p3auto","4,743,186","","p3auto","4,086,336","","p3auto","3,665,492",
"24","Other consumer loans","","p3conoth","5,934,228","","p3conoth","5,860,900","","p3conoth","5,864,691","","p3conoth","5,576,816",
"25","Loans to foreign governments and official institutions","","p3fg","703","","p3fg","0","","p3fg","0","","p3fg","0",
"26","Other loans","","p3othln","1,233,027","","p3othln","1,327,464","","p3othln","956,120","","p3othln","1,706,140",
"27","Lease financing receivables","","p3ls","555,173","","p3ls","372,820","","p3ls","327,303","","p3ls","544,006",
"28","Debt securities and other assets","","p3scdebt","284,509","","p3scdebt","125,660","","p3scdebt","189,393","","p3scdebt","128,032",
" ","Memoranda (included above): "
"29","Loans to finance agricultural prod and other loans to farmers (small)","","p3agsm","130,810","","p3agsm","123,152","","p3agsm","124,349","","p3agsm","208,736",
"30","Loans held for sale","","p3lnsale","1,228,883","","p3lnsale","1,003,574","","p3lnsale","958,324","","p3lnsale","1,271,986",
"31","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p3gtypar","13,981,312","","p3gtypar","13,534,907","","p3gtypar","13,046,877","","p3gtypar","13,093,178",
"32","Loans and leases covered by FDIC loss-sharing agreements","","p3ltot","2,944,437","","p3ltot","2,754,988","","p3ltot","2,953,205","","p3ltot","3,217,039",
"33","Assets past due 90 or more days","","p9asset","124,514,339","","p9asset","130,968,619","","p9asset","128,855,421","","p9asset","132,460,612",
"34","Loans secured by real estate, total","","p9re","110,079,389","","p9re","115,911,614","","p9re","113,779,655","","p9re","115,397,059",
"35","To non-U.S. addressees","","p9renus","223,349","","p9renus","184,890","","p9renus","194,791","","p9renus","185,983",
"36","Real estate loans in domestic offices","","idp9redm","109,911,846","","idp9redm","115,764,823","","idp9redm","113,609,749","","idp9redm","115,261,447",
"37","Construction and land development","","p9recons","3,307,402","","p9recons","3,752,435","","p9recons","4,352,743","","p9recons","5,099,392",
"38","1-4 family residential construction	","","p9recnfm","496,803","","p9recnfm","576,113","","p9recnfm","675,453","","p9recnfm","800,581",
"39","Other construction, all land development and other land	","","p9recnot","2,810,599","","p9recnot","3,176,322","","p9recnot","3,677,290","","p9recnot","4,298,811",
"40","Secured by farmland","","p9reag","174,749","","p9reag","202,005","","p9reag","230,308","","p9reag","320,417",
"41","Secured by 1-4 family residential properties","","p9reres","100,752,498","","p9reres","105,830,932","","p9reres","103,067,907","","p9reres","103,406,975",
"42","Secured by multifamily residential properties","","p9remult","640,434","","p9remult","718,467","","p9remult","783,541","","p9remult","870,968",
"43","Secured by nonfarm nonresidential properties","","p9renres","5,036,763","","p9renres","5,260,984","","p9renres","5,175,250","","p9renres","5,563,695",
"44","Owner-occupied non-farm non-residential","","p9renrow","2,019,222","","p9renrow","2,061,049","","p9renrow","2,020,436","","p9renrow","2,059,551",
"45","Other non-farm non-residential","","p9renrot","3,017,541","","p9renrot","3,199,935","","p9renrot","3,154,814","","p9renrot","3,504,144",
"46","Real estate loans in foreign offices","","p9refor","167,543","","p9refor","146,791","","p9refor","169,906","","p9refor","135,612",
"47","Loans to depository institutions","","p9dep","2,904","","p9dep","3,089","","p9dep","3,148","","p9dep","10,422",
"48","To foreign banks","","p9depnus","2,805","","p9depnus","21","","p9depnus","30","","p9depnus","27",
"49","Loans to finance agricultural production and other loans to farmers","","p9ag","22,011","","p9ag","31,313","","p9ag","27,083","","p9ag","66,437",
"50","Commercial and industrial loans","","p9ci","1,753,199","","p9ci","1,604,581","","p9ci","1,819,109","","p9ci","1,930,061",
"51","To non-U.S. addressees","","p9cinus","30,351","","p9cinus","32,125","","p9cinus","20,684","","p9cinus","32,866",
"52","Loans to individuals","","p9con","11,611,021","","p9con","12,380,151","","p9con","12,269,094","","p9con","14,072,641",
"53","Credit cards","","p9crcd","7,789,936","","p9crcd","7,583,374","","p9crcd","7,512,703","","p9crcd","8,931,065",
