"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2000","","","12/31/1999","","","12/31/1998","","","12/31/1997",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","9904","","instcnt","10222","","instcnt","10464","","instcnt","10923",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","57,055,253","","p3asset","46,877,079","","p3asset","48,332,219","","p3asset","47,318,195",
"3","Loans secured by real estate, total","","p3re","27,789,936","","p3re","21,873,646","","p3re","23,098,936","","p3re","23,375,746",
"4","To non-U.S. addressees","","p3renus","435,076","","p3renus","429,028","","p3renus","397,619","","p3renus","429,939",
"5","Real estate loans in domestic offices","","idp3redm","27,347,102","","idp3redm","21,433,983","","idp3redm","22,709,743","","idp3redm","22,943,481",
"6","Construction and land development","","p3recons","2,219,579","","p3recons","1,607,330","","p3recons","1,960,779","","p3recons","1,557,599",
"7","1-4 family residential construction	","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A",
"8","Other construction, all land development and other land	","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A",
"9","Secured by farmland","","p3reag","322,934","","p3reag","246,728","","p3reag","345,787","","p3reag","285,363",
"10","Secured by 1-4 family residential properties","","p3reres","20,465,747","","p3reres","15,957,493","","p3reres","15,703,408","","p3reres","16,582,964",
"11","Secured by multifamily residential properties","","p3remult","495,708","","p3remult","453,864","","p3remult","621,212","","p3remult","711,676",
"12","Secured by nonfarm nonresidential properties","","p3renres","3,843,134","","p3renres","3,168,568","","p3renres","4,078,557","","p3renres","3,805,879",
"13","Owner-occupied non-farm non-residential","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A",
"14","Other non-farm non-residential","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A",
"15","Real estate loans in foreign offices","","p3refor","442,834","","p3refor","439,672","","p3refor","389,190","","p3refor","432,265",
"16","Loans to depository institutions","","p3dep","45,277","","p3dep","22,928","","p3dep","46,325","","p3dep","19,314",
"17","To foreign banks","","p3depnus","55","","p3depnus","4,839","","p3depnus","35,612","","p3depnus","4,216",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","245,857","","p3ag","185,076","","p3ag","226,450","","p3ag","192,654",
"19","Commercial and industrial loans","","p3ci","9,239,685","","p3ci","7,991,484","","p3ci","8,152,082","","p3ci","6,828,232",
"20","To non-U.S. addressees","","p3cinus","501,412","","p3cinus","592,378","","p3cinus","633,730","","p3cinus","323,745",
"21","Loans to individuals","","p3con","16,295,452","","p3con","14,074,964","","p3con","14,914,534","","p3con","15,194,475",
"22","Credit cards","","p3crcd","6,931,920","","p3crcd","5,714,393","","p3crcd","6,137,691","","p3crcd","6,666,544",
