"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2002","","","9/30/2002","","","6/30/2002","","","3/31/2002",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","9354","","instcnt","9415","","instcnt","9466","","instcnt","9521",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","58,956,491","","p3asset","55,681,632","","p3asset","54,062,235","","p3asset","58,283,745",
"3","Loans secured by real estate, total","","p3re","29,727,600","","p3re","27,178,184","","p3re","25,585,989","","p3re","28,125,470",
"4","To non-U.S. addressees","","p3renus","447,104","","p3renus","491,410","","p3renus","513,984","","p3renus","520,378",
"5","Real estate loans in domestic offices","","idp3redm","29,117,960","","idp3redm","26,504,313","","idp3redm","24,853,145","","idp3redm","27,368,393",
"6","Construction and land development","","p3recons","2,268,506","","p3recons","2,474,374","","p3recons","2,431,343","","p3recons","2,848,345",
"7","1-4 family residential construction	","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A",
"8","Other construction, all land development and other land	","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A",
"9","Secured by farmland","","p3reag","377,958","","p3reag","328,823","","p3reag","375,685","","p3reag","574,192",
"10","Secured by 1-4 family residential properties","","p3reres","21,763,030","","p3reres","19,068,912","","p3reres","17,404,526","","p3reres","18,498,914",
"11","Secured by multifamily residential properties","","p3remult","448,160","","p3remult","362,980","","p3remult","410,402","","p3remult","567,079",
"12","Secured by nonfarm nonresidential properties","","p3renres","4,260,306","","p3renres","4,269,224","","p3renres","4,231,189","","p3renres","4,879,863",
"13","Owner-occupied non-farm non-residential","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A",
