"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2007","","","9/30/2007","","","6/30/2007","","","3/31/2007",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","8534","","instcnt","8559","","instcnt","8614","","instcnt","8649",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","108,043,536","","p3asset","92,594,864","","p3asset","74,072,620","","p3asset","70,551,505",
"3","Loans secured by real estate, total","","p3re","72,780,873","","p3re","60,198,904","","p3re","47,058,923","","p3re","43,807,787",
"4","To non-U.S. addressees","","p3renus","586,331","","p3renus","471,713","","p3renus","368,899","","p3renus","451,050",
"5","Real estate loans in domestic offices","","idp3redm","72,017,533","","idp3redm","59,491,321","","idp3redm","46,447,690","","idp3redm","43,188,491",
"6","Construction and land development","","p3recons","11,426,235","","p3recons","8,442,324","","p3recons","6,106,831","","p3recons","6,237,910",
"7","1-4 family residential construction	","","p3recnfm","4,809,339","","p3recnfm","3,517,415","","p3recnfm","2,568,383","","p3recnfm","2,247,365",
"8","Other construction, all land development and other land	","","p3recnot","5,110,448","","p3recnot","3,587,377","","p3recnot","2,779,872","","p3recnot","3,243,629",
"9","Secured by farmland","","p3reag","430,235","","p3reag","350,996","","p3reag","426,128","","p3reag","513,115",
"10","Secured by 1-4 family residential properties","","p3reres","51,504,975","","p3reres","44,020,924","","p3reres","34,239,454","","p3reres","30,105,769",
"11","Secured by multifamily residential properties","","p3remult","1,146,713","","p3remult","821,223","","p3remult","828,320","","p3remult","935,483",
"12","Secured by nonfarm nonresidential properties","","p3renres","7,509,375","","p3renres","5,855,854","","p3renres","4,846,957","","p3renres","5,396,214",
"13","Owner-occupied non-farm non-residential","","p3renrow","2,673,773","","p3renrow","2,272,824","","p3renrow","2,028,618","","p3renrow","2,100,420",
"14","Other non-farm non-residential","","p3renrot","4,091,736","","p3renrot","2,940,919","","p3renrot","2,254,066","","p3renrot","2,709,391",
"15","Real estate loans in foreign offices","","p3refor","763,340","","p3refor","707,583","","p3refor","611,233","","p3refor","619,296",
"16","Loans to depository institutions","","p3dep","70,740","","p3dep","7,433","","p3dep","21,210","","p3dep","10,580",
"17","To foreign banks","","p3depnus","59,049","","p3depnus","2,533","","p3depnus","15,833","","p3depnus","9,627",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","47,357","","p3ag","53,110","","p3ag","84,622","","p3ag","78,448",
"19","Commercial and industrial loans","","p3ci","10,306,021","","p3ci","9,000,330","","p3ci","7,474,906","","p3ci","7,901,441",
"20","To non-U.S. addressees","","p3cinus","428,875","","p3cinus","418,738","","p3cinus","288,951","","p3cinus","325,671",
"21","Loans to individuals","","p3con","21,916,054","","p3con","20,164,160","","p3con","16,980,182","","p3con","15,298,515",
"22","Credit cards","","p3crcd","9,800,060","","p3crcd","9,313,556","","p3crcd","7,555,053","","p3crcd","6,761,415",
"23","Automobile loans","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A",
"24","Other consumer loans","","p3conoth","12,115,994","","p3conoth","10,850,604","","p3conoth","9,425,129","","p3conoth","8,537,100",
"25","Loans to foreign governments and official institutions","","p3fg","6,002","","p3fg","1,000","","p3fg","2,169","","p3fg","0",
"26","Other loans","","p3othln","1,515,810","","p3othln","2,206,098","","p3othln","1,586,390","","p3othln","2,074,440",
"27","Lease financing receivables","","p3ls","1,355,343","","p3ls","927,197","","p3ls","831,156","","p3ls","1,349,085",
