"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2008","","","9/30/2008","","","6/30/2008","","","3/31/2009",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","8305","","instcnt","8384","","instcnt","8451","","instcnt","8247",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","159,426,888","","p3asset","121,726,446","","p3asset","110,881,470","","p3asset","158,840,786",
"3","Loans secured by real estate, total","","p3re","112,774,127","","p3re","84,755,373","","p3re","76,157,594","","p3re","115,117,508",
"4","To non-U.S. addressees","","p3renus","813,464","","p3renus","686,859","","p3renus","674,928","","p3renus","781,438",
"5","Real estate loans in domestic offices","","idp3redm","111,710,468","","idp3redm","83,856,556","","idp3redm","75,297,146","","idp3redm","114,126,629",
"6","Construction and land development","","p3recons","16,989,277","","p3recons","14,313,681","","p3recons","12,576,877","","p3recons","20,027,374",
"7","1-4 family residential construction	","","p3recnfm","5,865,494","","p3recnfm","5,115,433","","p3recnfm","5,001,335","","p3recnfm","5,752,372",
"8","Other construction, all land development and other land	","","p3recnot","9,556,305","","p3recnot","7,778,837","","p3recnot","6,425,541","","p3recnot","12,573,921",
"9","Secured by farmland","","p3reag","614,497","","p3reag","390,059","","p3reag","463,847","","p3reag","813,933",
"10","Secured by 1-4 family residential properties","","p3reres","80,369,134","","p3reres","59,522,394","","p3reres","53,476,249","","p3reres","75,683,880",
"11","Secured by multifamily residential properties","","p3remult","2,333,410","","p3remult","1,547,564","","p3remult","1,445,391","","p3remult","2,871,341",
"12","Secured by nonfarm nonresidential properties","","p3renres","11,404,150","","p3renres","8,082,858","","p3renres","7,334,782","","p3renres","14,730,101",
"13","Owner-occupied non-farm non-residential","","p3renrow","4,825,907","","p3renrow","3,566,354","","p3renrow","3,005,355","","p3renrow","5,647,533",
"14","Other non-farm non-residential","","p3renrot","5,644,175","","p3renrot","3,922,028","","p3renrot","3,829,159","","p3renrot","7,998,894",
"15","Real estate loans in foreign offices","","p3refor","1,063,659","","p3refor","898,817","","p3refor","860,448","","p3refor","990,879",
"16","Loans to depository institutions","","p3dep","149,403","","p3dep","23,356","","p3dep","56,592","","p3dep","10,178",
"17","To foreign banks","","p3depnus","62,083","","p3depnus","21,071","","p3depnus","54,605","","p3depnus","2,027",
