"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2006","","","9/30/2006","","","6/30/2006","","","3/31/2006",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","8680","","instcnt","8743","","instcnt","8777","","instcnt","8790",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","71,553,235","","p3asset","62,799,684","","p3asset","55,187,092","","p3asset","56,356,266",
"3","Loans secured by real estate, total","","p3re","44,156,094","","p3re","36,218,312","","p3re","30,788,006","","p3re","30,919,852",
"4","To non-U.S. addressees","","p3renus","550,554","","p3renus","403,166","","p3renus","369,415","","p3renus","486,212",
"5","Real estate loans in domestic offices","","idp3redm","43,435,631","","idp3redm","35,649,810","","idp3redm","30,328,336","","idp3redm","30,330,441",
"6","Construction and land development","","p3recons","5,256,098","","p3recons","4,045,884","","p3recons","2,930,287","","p3recons","3,260,594",
"7","1-4 family residential construction	","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A","","p3recnfm","N/A",
"8","Other construction, all land development and other land	","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A","","p3recnot","N/A",
"9","Secured by farmland","","p3reag","336,697","","p3reag","296,538","","p3reag","318,325","","p3reag","458,916",
"10","Secured by 1-4 family residential properties","","p3reres","32,198,477","","p3reres","26,223,009","","p3reres","22,496,776","","p3reres","21,344,644",
"11","Secured by multifamily residential properties","","p3remult","776,319","","p3remult","671,919","","p3remult","542,095","","p3remult","732,692",
"12","Secured by nonfarm nonresidential properties","","p3renres","4,868,040","","p3renres","4,412,460","","p3renres","4,040,853","","p3renres","4,533,595",
"13","Owner-occupied non-farm non-residential","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A","","p3renrow","N/A",
"14","Other non-farm non-residential","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A","","p3renrot","N/A",
"15","Real estate loans in foreign offices","","p3refor","720,463","","p3refor","568,502","","p3refor","459,670","","p3refor","589,411",
"16","Loans to depository institutions","","p3dep","19,762","","p3dep","15,153","","p3dep","377","","p3dep","26,312",
"17","To foreign banks","","p3depnus","11,186","","p3depnus","12,332","","p3depnus","0","","p3depnus","20,370",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","114,176","","p3ag","56,540","","p3ag","62,405","","p3ag","72,080",
"19","Commercial and industrial loans","","p3ci","6,758,122","","p3ci","7,086,300","","p3ci","6,893,618","","p3ci","8,390,588",
"20","To non-U.S. addressees","","p3cinus","194,622","","p3cinus","329,031","","p3cinus","236,501","","p3cinus","299,298",
"21","Loans to individuals","","p3con","17,524,708","","p3con","17,065,684","","p3con","15,335,660","","p3con","14,458,097",
"22","Credit cards","","p3crcd","8,059,648","","p3crcd","8,388,878","","p3crcd","7,696,942","","p3crcd","7,204,903",
"23","Automobile loans","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A",
"24","Other consumer loans","","p3conoth","9,465,060","","p3conoth","8,676,806","","p3conoth","7,638,718","","p3conoth","7,253,194",
"25","Loans to foreign governments and official institutions","","p3fg","2,000","","p3fg","537","","p3fg","1,477","","p3fg","140",
