"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2010","","","9/30/2010","","","6/30/2010","","","3/31/2010",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","7658","","instcnt","7761","","instcnt","7830","","instcnt","7934",
"Past Due and Nonaccrual Assets","","",""," ","",""," ","",""," ","",""," ",
"2","Assets past due 30 - 89 days *","","p3asset","117,986,159","","p3asset","123,862,211","","p3asset","124,887,000","","p3asset","144,580,970",
"3","Loans secured by real estate, total","","p3re","81,768,961","","p3re","84,533,647","","p3re","84,756,589","","p3re","98,186,915",
"4","To non-U.S. addressees","","p3renus","601,613","","p3renus","646,925","","p3renus","665,835","","p3renus","717,314",
"5","Real estate loans in domestic offices","","idp3redm","81,115,739","","idp3redm","83,686,485","","idp3redm","83,870,208","","idp3redm","97,320,904",
"6","Construction and land development","","p3recons","6,330,037","","p3recons","7,919,842","","p3recons","8,895,919","","p3recons","11,753,450",
"7","1-4 family residential construction	","","p3recnfm","1,146,091","","p3recnfm","1,343,607","","p3recnfm","1,722,541","","p3recnfm","2,437,934",
"8","Other construction, all land development and other land	","","p3recnot","4,730,203","","p3recnot","6,040,836","","p3recnot","6,402,733","","p3recnot","8,543,672",
"9","Secured by farmland","","p3reag","501,513","","p3reag","556,263","","p3reag","578,542","","p3reag","759,640",
"10","Secured by 1-4 family residential properties","","p3reres","60,847,655","","p3reres","61,239,506","","p3reres","59,967,442","","p3reres","66,261,256",
"11","Secured by multifamily residential properties","","p3remult","2,357,609","","p3remult","2,282,471","","p3remult","2,201,264","","p3remult","2,763,237",
"12","Secured by nonfarm nonresidential properties","","p3renres","11,078,925","","p3renres","11,688,403","","p3renres","12,227,041","","p3renres","15,783,321",
"13","Owner-occupied non-farm non-residential","","p3renrow","4,606,885","","p3renrow","4,837,248","","p3renrow","4,802,675","","p3renrow","5,968,784",
"14","Other non-farm non-residential","","p3renrot","5,600,704","","p3renrot","6,032,302","","p3renrot","6,500,736","","p3renrot","8,609,965",
"15","Real estate loans in foreign offices","","p3refor","653,222","","p3refor","847,162","","p3refor","886,381","","p3refor","866,011",
"16","Loans to depository institutions","","p3dep","5,646","","p3dep","11,720","","p3dep","131,077","","p3dep","24,998",
"17","To foreign banks","","p3depnus","3,014","","p3depnus","5,920","","p3depnus","130,451","","p3depnus","64",
"18","Loans to finance agricultural production and other loans to farmers","","p3ag","191,558","","p3ag","263,224","","p3ag","336,145","","p3ag","333,509",
"19","Commercial and industrial loans","","p3ci","8,006,126","","p3ci","8,750,726","","p3ci","9,391,917","","p3ci","11,110,347",
"20","To non-U.S. addressees","","p3cinus","423,901","","p3cinus","289,826","","p3cinus","313,471","","p3cinus","283,548",
"21","Loans to individuals","","p3con","25,730,300","","p3con","27,868,163","","p3con","28,005,530","","p3con","31,750,542",
"22","Credit cards","","p3crcd","13,583,494","","p3crcd","14,850,164","","p3crcd","15,375,027","","p3crcd","18,802,299",
"23","Automobile loans","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A","","p3auto","N/A",
"24","Other consumer loans","","p3conoth","12,146,806","","p3conoth","13,017,999","","p3conoth","12,630,503","","p3conoth","12,948,243",
"25","Loans to foreign governments and official institutions","","p3fg","0","","p3fg","0","","p3fg","813","","p3fg","0",
"26","Other loans","","p3othln","1,431,320","","p3othln","1,755,395","","p3othln","1,543,367","","p3othln","1,952,194",
"27","Lease financing receivables","","p3ls","741,354","","p3ls","604,001","","p3ls","655,057","","p3ls","1,101,170",
"28","Debt securities and other assets","","p3scdebt","110,894","","p3scdebt","75,335","","p3scdebt","66,505","","p3scdebt","121,295",
" ","Memoranda (included above): "
"29","Loans to finance agricultural prod and other loans to farmers (small)","","p3agsm","138,477","","p3agsm","160,304","","p3agsm","254,634","","p3agsm","341,850",
"30","Loans held for sale","","p3lnsale","1,004,721","","p3lnsale","1,051,672","","p3lnsale","1,062,945","","p3lnsale","942,733",
"31","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p3gtypar","16,841,106","","p3gtypar","16,847,225","","p3gtypar","15,952,826","","p3gtypar","13,943,938",
