"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"","","","","12/31/2005","","","9/30/2005","","","6/30/2005","","","3/31/2005",
"","","","","$ in 000's","","","$ in 000's","","","$ in 000's","","","$ in 000's",
"","","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)","","","Total (Sum)",
"1","Number of institutions reporting","","instcnt","8833","","instcnt","8858","","instcnt","8868","","instcnt","8931",
"Assets and Liabilities","","",""," ","",""," ","",""," ","",""," ",
"2","Total employees (full-time equivalent)","","numemp","2,150,485","","numemp","2,137,988","","numemp","2,130,266","","numemp","2,104,618",
"3","Total assets","","asset","10,879,266,653","","asset","10,700,704,372","","asset","10,474,368,258","","asset","10,286,409,862",
"4","Cash and due from depository institutions","","chbal","435,357,221","","chbal","419,581,031","","chbal","418,001,229","","chbal","426,008,596",
"5","Interest-bearing balances","","chbali","133,877,338","","chbali","140,736,142","","chbali","131,490,405","","chbali","159,747,458",
"6","Securities","","sc","1,893,107,244","","sc","1,890,279,791","","sc","1,888,571,964","","sc","1,887,662,373",
"7","Federal funds sold & reverse repurchase agreements","","frepo","463,974,480","","frepo","450,361,846","","frepo","413,420,757","","frepo","430,695,995",
"8","Net loans & leases","","lnlsnet","6,640,834,676","","lnlsnet","6,497,720,073","","lnlsnet","6,326,016,361","","lnlsnet","6,120,969,649",
"9","Loan loss allowance","","lnatres","77,413,758","","lnatres","79,382,044","","lnatres","79,052,511","","lnatres","79,679,869",
"10","Trading account assets","","trade","512,547,815","","trade","532,836,232","","trade","534,321,565","","trade","522,351,084",
"11","Bank premises and fixed assets","","bkprem","106,504,051","","bkprem","104,749,582","","bkprem","103,564,805","","bkprem","102,165,752",
"12","Other real estate owned","","ore","5,162,883","","ore","5,064,267","","ore","5,004,948","","ore","5,116,786",
"13","Goodwill and other intangibles","","intan","344,555,344","","intan","329,457,608","","intan","322,363,321","","intan","325,951,002",
"14","All other assets","","idoa","477,222,939","","idoa","470,653,940","","idoa","463,103,291","","idoa","465,488,627",
"15","Total liabilities and capital","","liabeq","10,879,266,612","","liabeq","10,700,704,428","","liabeq","10,474,368,242","","liabeq","10,286,409,865",
"16","Total liabilities","","liab","9,760,628,290","","liab","9,603,764,138","","liab","9,387,492,675","","liab","9,230,751,405",
"17","Total deposits","","dep","7,141,309,559","","dep","6,969,052,300","","dep","6,821,053,251","","dep","6,708,849,017",
"18","Interest-bearing deposits","","depi","5,874,218,589","","depi","5,728,772,864","","depi","5,580,078,504","","depi","5,519,363,307",
"19","Deposits held in domestic offices","","depdom","6,220,661,891","","depdom","6,066,300,878","","depdom","5,925,885,076","","depdom","5,827,228,967",
"20","% insured","","iddepinr","N/A","","iddepinr","N/A","","iddepinr","N/A","","iddepinr","N/A",
"21","Federal funds purchased & repurchase agreements","","frepp","760,956,704","","frepp","763,569,660","","frepp","727,017,689","","frepp","698,567,442",
"22","Trading liabilities","","tradel","251,749,314","","tradel","269,593,222","","tradel","260,592,031","","tradel","272,597,362",
"23","Other borrowed funds","","idobrmtg","1,186,184,350","","idobrmtg","1,186,197,902","","idobrmtg","1,167,777,639","","idobrmtg","1,127,643,596",
"24","Subordinated debt","","subnd","131,428,425","","subnd","125,014,321","","subnd","123,091,158","","subnd","122,515,032",
"25","All other liabilities","","idoliab","288,999,938","","idoliab","290,336,734","","idoliab","287,960,909","","idoliab","300,578,958",
"26","Total equity capital","","eqtot","1,118,638,322","","eqtot","1,096,940,290","","eqtot","1,086,875,574","","eqtot","1,055,658,459",
"27","Total bank equity capital","","eq","1,118,638,322","","eq","1,096,940,290","","eq","1,086,875,574","","eq","1,055,658,459",
"28","Perpetual preferred stock","","eqpp","5,715,978","","eqpp","7,627,783","","eqpp","7,633,146","","eqpp","7,620,750",
