,State,Value
0,Alabama,"144,914.3"
1,Alaska *,"27,607.0"
2,Arizona,"209,009.7"
3,Arkansas,"83,020.8"
4,California,"1,517,898.2"
5,Colorado,"188,803.3"
6,Connecticut,"190,585.8"
7,District of Columbia,"32,037.2"
8,Delaware,"35,225.8"
9,Florida,"697,871.2"
10,Georgia,"316,877.8"
11,Hawaii *,"50,773.5"
12,Idaho,"46,002.2"
13,Illinois,"509,272.2"
14,Indiana,"208,808.5"
15,Iowa,"102,447.9"
16,Kansas,"97,830.3"
17,Kentucky,"128,717.5"
18,Louisiana,"143,751.0"
19,Maine,"45,529.1"
20,Maryland,"257,711.8"
21,Massachusetts,"307,760.9"
22,Michigan,"337,455.8"
23,Minnesota,"204,122.8"
24,Mississippi,"81,068.8"
25,Missouri,"198,448.2"
26,Montana,"30,322.7"
27,Nebraska,"63,575.0"
28,Nevada,"100,381.2"
29,New Hampshire,"56,713.3"
30,New Jersey,"415,978.7"
31,New Mexico,"59,701.7"
32,New York,"847,001.9"
33,North Carolina,"305,336.6"
34,North Dakota,"21,434.1"
35,Ohio,"393,111.2"
36,Oklahoma,"123,411.8"
37,Oregon,"127,973.8"
38,Pennsylvania,"476,852.9"
39,Rhode Island,"41,658.7"
40,South Carolina,"134,578.9"
41,South Dakota,"27,503.9"
42,Tennessee,"201,170.7"
43,Texas,"820,054.9"
44,Utah,"79,437.9"
45,Vermont,"22,941.0"
46,Virginia,"326,171.6"
47,Washington,"256,517.4"
48,West Virginia,"52,178.8"
49,Wisconsin,"202,454.0"
50,Wyoming,"22,574.9"
