,State,Value
0,Alabama,"112,312.1"
1,Alaska *,"21,181.7"
2,Arizona,"140,805.6"
3,Arkansas,"64,374.9"
4,California,"1,175,177.7"
5,Colorado,"154,409.8"
6,Connecticut,"155,326.5"
7,District of Columbia,"25,670.9"
8,Delaware,"29,340.4"
9,Florida,"495,620.0"
10,Georgia,"248,728.2"
11,Hawaii *,"37,354.5"
12,Idaho,"33,979.5"
13,Illinois,"428,742.3"
14,Indiana,"175,497.6"
15,Iowa,"82,942.4"
16,Kansas,"78,695.4"
17,Kentucky,"104,268.9"
18,Louisiana,"114,378.3"
19,Maine,"36,999.7"
20,Maryland,"199,093.3"
21,Massachusetts,"255,190.3"
22,Michigan,"306,609.8"
23,Minnesota,"165,715.7"
24,Mississippi,"65,233.6"
25,Missouri,"162,071.5"
26,Montana,"21,862.0"
27,Nebraska,"52,059.5"
28,Nevada,"68,036.4"
29,New Hampshire,"46,376.2"
30,New Jersey,"342,293.0"
31,New Mexico,"45,275.6"
32,New York,"709,931.4"
33,North Carolina,"228,431.7"
34,North Dakota,"17,126.6"
35,Ohio,"334,714.3"
36,Oklahoma,"88,354.1"
37,Oregon,"100,607.4"
38,Pennsylvania,"388,669.3"
39,Rhode Island,"33,634.8"
40,South Carolina,"104,652.3"
41,South Dakota,"20,982.5"
42,Tennessee,"159,459.9"
43,Texas,"625,351.8"
44,Utah,"57,414.1"
45,Vermont,"18,692.9"
46,Virginia,"244,136.7"
47,Washington,"199,075.2"
48,West Virginia,"42,849.8"
49,Wisconsin,"166,810.4"
50,Wyoming,"15,320.2"
