,State,Value
0,Alabama,"157,479.5"
1,Alaska *,"32,701.9"
2,Arizona,"223,221.9"
3,Arkansas,"91,798.2"
4,California,"1,606,764.5"
5,Colorado,"207,772.7"
6,Connecticut,"217,022.6"
7,District of Columbia,"35,533.5"
8,Delaware,"36,033.8"
9,Florida,"727,016.1"
10,Georgia,"333,747.3"
11,Hawaii *,"56,166.2"
12,Idaho,"50,089.2"
13,Illinois,"552,022.2"
14,Indiana,"225,842.6"
15,Iowa,"116,372.3"
16,Kansas,"114,394.6"
17,Kentucky,"140,471.6"
18,Louisiana,"167,982.8"
19,Maine,"49,163.5"
20,Maryland,"280,308.8"
21,Massachusetts,"335,476.3"
22,Michigan,"354,064.2"
23,Minnesota,"225,275.6"
24,Mississippi,"90,038.3"
25,Missouri,"219,411.8"
26,Montana,"34,418.9"
27,Nebraska,"72,396.9"
28,Nevada,"102,762.9"
29,New Hampshire,"60,395.6"
30,New Jersey,"453,338.6"
31,New Mexico,"67,065.3"
32,New York,"927,177.2"
33,North Carolina,"350,372.6"
34,North Dakota,"26,710.3"
35,Ohio,"422,895.3"
36,Oklahoma,"141,463.9"
37,Oregon,"139,499.8"
38,Pennsylvania,"524,359.6"
39,Rhode Island,"44,085.5"
40,South Carolina,"149,235.6"
41,South Dakota,"32,632.8"
42,Tennessee,"218,783.3"
43,Texas,"956,545.5"
44,Utah,"90,567.1"
45,Vermont,"25,368.9"
46,Virginia,"356,434.4"
47,Washington,"292,344.4"
48,West Virginia,"57,652.4"
49,Wisconsin,"219,514.5"
50,Wyoming,"26,333.8"
