,State,Value
0,Alabama,"155,254.7"
1,Alaska *,"32,749.1"
2,Arizona,"211,397.7"
3,Arkansas,"90,242.5"
4,California,"1,554,229.7"
5,Colorado,"198,147.2"
6,Connecticut,"213,686.8"
7,District of Columbia,"35,803.4"
8,Delaware,"36,291.1"
9,Florida,"682,319.6"
10,Georgia,"327,375.3"
11,Hawaii *,"56,013.4"
12,Idaho,"48,408.7"
13,Illinois,"525,582.4"
14,Indiana,"219,712.6"
15,Iowa,"112,829.0"
16,Kansas,"110,482.0"
17,Kentucky,"138,837.5"
18,Louisiana,"163,381.8"
19,Maine,"49,084.9"
20,Maryland,"278,546.5"
21,Massachusetts,"332,152.0"
22,Michigan,"336,043.5"
23,Minnesota,"215,787.5"
24,Mississippi,"88,579.7"
25,Missouri,"215,540.5"
26,Montana,"33,729.8"
27,Nebraska,"71,199.7"
28,Nevada,"97,544.4"
29,New Hampshire,"59,597.3"
30,New Jersey,"439,321.8"
31,New Mexico,"66,678.7"
32,New York,"914,586.3"
33,North Carolina,"337,787.0"
34,North Dakota,"26,507.4"
35,Ohio,"410,863.9"
36,Oklahoma,"131,404.8"
37,Oregon,"134,830.9"
38,Pennsylvania,"511,713.9"
39,Rhode Island,"42,946.7"
40,South Carolina,"145,609.1"
41,South Dakota,"31,681.8"
42,Tennessee,"217,319.2"
43,Texas,"911,227.0"
44,Utah,"86,896.5"
45,Vermont,"24,990.4"
46,Virginia,"348,944.2"
47,Washington,"279,037.8"
48,West Virginia,"58,149.8"
49,Wisconsin,"215,913.3"
50,Wyoming,"24,346.8"
